Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2024-05-16,0,-1699,-2575,-3090,-2890,-1999,212,1943,3471,3155,1468,-1509,-4286,-1413,531,2755,6118,8633,11129,12080,11167,9094,7890,5990
2024-05-17,0,-1817,-2772,-3393,-3240,-2453,-1001,845,2331,1719,296,-1802,-4052,-1062,608,2305,4904,6418,8160,8832,7841,6017,5147,3312
2024-05-18,0,-2115,-3340,-4092,-4136,-4111,-4171,-5635,-7428,-8479,-8926,-10012,-11245,-9898,-8461,-6558,-3615,-622,2030,3508,3658,2259,1493,-421
2024-05-19,0,-2121,-3431,-3951,-3913,-3601,-3550,-5607,-8019,-9279,-9363,-9763,-9687,-8886,-7766,-5401,-1743,2304,5319,7240,7433,5825,4130,2127
2024-05-20,0,-1779,-2655,-3078,-2848,-1720,1043,5340,9625,10905,10536,9432,7415,9906,11646,13304,15655,16585,17851,18046,16369,13847,12218,9799
2024-05-21,0,-1775,-2880,-3500,-3494,-2668,-331,2801,6302,6821,5447,2418,-554,2604,4403,6455,9305,10864,12186,12206,10636,7985,6040,3718
2024-05-22,0,-1914,-2825,-2879,-2956,-2318,-461,2308,4493,4358,3297,1413,-514,3344,5693,7662,9828,10629,11723,12126,10842,8537,6800,4262
2024-05-23,0,-1720,-2876,-3453,-3411,-2670,-736,1402,3887,4084,3747,2051,-171,3063,5074,6914,9695,11465,12821,12876,11126,8508,6608,4296
2024-05-24,0,-1990,-3128,-3761,-3829,-3240,-1122,1606,4269,4598,3860,2062,37,3311,5240,6984,9099,9276,9749,9984,8716,6395,4819,2507
2024-05-25,0,-2003,-3327,-4299,-4555,-4657,-4077,-3717,-3541,-3745,-4347,-5275,-6381,-4699,-3804,-2812,-1416,68,1880,3479,3461,2091,1130,-634
2024-05-26,0,-1946,-3339,-4073,-4278,-4351,-4667,-5849,-6898,-6712,-6019,-5188,-3152,-836,904,2442,3738,5357,6505,7174,6955,5298,3832,1941
2024-05-27,0,-1839,-2992,-3281,-2897,-1695,679,3232,6061,6930,7064,6180,4053,7338,10076,12003,13996,14727,15389,15720,14495,12284,10804,8371
2024-05-28,0,-1791,-2674,-3092,-3004,-2340,-468,1572,3342,3791,3364,2627,1006,4972,6702,8035,10152,11307,12584,12768,11409,8988,6964,4171
2024-05-29,0,-1739,-2877,-3565,-3508,-2812,-982,652,2941,3727,3521,2077,-10,4036,6161,7783,10228,11265,12458,12525,10995,8547,6381,3774
2024-05-30,0,-1904,-2891,-3542,-3519,-2796,-244,3317,6874,7814,8364,7433,5666,9666,10782,12566,13259,12422,12328,12177,10332,7966,6272,3848
2024-05-31,0,-1908,-2997,-3633,-3601,-2919,-951,1316,3724,4258,2983,988,-1630,1621,3637,5340,7761,8987,9902,9996,9014,6939,5681,3641
2024-06-01,0,-1990,-3307,-4166,-4488,-4549,-4159,-4357,-5286,-5392,-6114,-7386,-8991,-8399,-7749,-6492,-4324,-1752,987,2178,2612,1323,960,-552
2024-06-02,0,-2320,-3900,-4561,-4776,-4989,-5364,-6525,-8456,-10013,-10110,-10034,-9748,-8480,-6684,-4730,-1589,1297,3824,5367,5891,4467,2898,928
2024-06-03,0,-1642,-2628,-3052,-2802,-1400,1258,4130,7479,8837,8552,7084,5077,8559,11008,12854,15431,16696,17839,17694,16124,13643,11925,9531
2024-06-04,0,-1806,-3024,-3656,-3698,-3012,-1126,863,3412,4419,4229,2251,-592,3077,5272,7189,10133,11650,12788,12874,11464,8762,7169,4579
2024-06-05,0,-1889,-2989,-3677,-3713,-3126,-1307,875,3437,4773,5107,4065,2318,6565,8913,10367,12190,11949,11693,11549,10306,7801,6448,4311
2024-06-06,0,-2026,-3220,-4079,-4275,-4238,-3584,-2850,-1778,-1613,-1649,-2040,-2849,-714,300,2153,3762,5107,6946,7902,7805,5893,3843,1291
2024-06-07,0,-1800,-2973,-3512,-3511,-3013,-1463,534,3335,4555,5296,5394,3926,7261,9766,10738,12300,12280,12309,12050,10827,8237,6772,4548
