Date,Open
2023-05-02,4164.10
2023-05-03,4122.25
2023-05-04,4082.55
2023-05-05,4084.73
2023-05-08,4136.98
2023-05-09,4124.25
2023-05-10,4143.74
2023-05-11,4132.24
2023-05-12,4138.54
2023-05-15,4126.65
2023-05-16,4127.95
2023-05-17,4122.85
2023-05-18,4157.68
2023-05-19,4204.15
2023-05-22,4190.78
2023-05-23,4176.80
2023-05-24,4132.96
2023-05-25,4155.71
2023-05-26,4156.16
2023-05-30,4226.71
2023-05-31,4190.74
2023-06-01,4183.03
2023-06-02,4241.01
2023-06-05,4282.99
2023-06-06,4271.34
2023-06-07,4285.47
2023-06-08,4268.69
2023-06-09,4304.88
2023-06-12,4308.32
2023-06-13,4352.61
2023-06-14,4366.29
2023-06-15,4365.33
2023-06-16,4440.95
2023-06-20,4396.11
2023-06-21,4380.01
2023-06-22,4355.40
2023-06-23,4354.17
2023-06-26,4344.84
2023-06-27,4337.36
2023-06-28,4367.48
2023-06-29,4374.94
2023-06-30,4422.44
2023-07-03,4450.48
2023-07-05,4442.04
2023-07-06,4422.62
2023-07-07,4404.54
2023-07-10,4394.23
2023-07-11,4415.55
2023-07-12,4467.69
2023-07-13,4491.50
2023-07-14,4514.61
2023-07-17,4508.86
2023-07-18,4521.78
2023-07-19,4563.87
2023-07-20,4554.38
2023-07-21,4550.16
2023-07-24,4543.39
2023-07-25,4555.19
2023-07-26,4558.96
2023-07-27,4598.26
2023-07-28,4565.75
2023-07-31,4584.82
2023-08-01,4578.83
2023-08-02,4550.93
2023-08-03,4494.27
2023-08-04,4513.96
2023-08-07,4491.58
2023-08-08,4498.03
2023-08-09,4501.57
2023-08-10,4487.16
2023-08-11,4450.69
2023-08-14,4458.13
2023-08-15,4478.87
2023-08-16,4433.79
2023-08-17,4416.32
2023-08-18,4344.88
2023-08-21,4380.28
2023-08-22,4415.33
2023-08-23,4396.44
2023-08-24,4455.16
2023-08-25,4389.38
2023-08-28,4426.03
2023-08-29,4432.75
2023-08-30,4500.34
2023-08-31,4517.01
2023-09-01,4530.60
2023-09-05,4510.06
2023-09-06,4490.35
2023-09-07,4434.55
2023-09-08,4451.30
2023-09-11,4480.98
2023-09-12,4473.27
2023-09-13,4462.65
2023-09-14,4487.78
2023-09-15,4497.98
2023-09-18,4445.13
2023-09-19,4445.41
2023-09-20,4452.81
2023-09-21,4374.36
2023-09-22,4341.74
2023-09-25,4310.62
2023-09-26,4312.88
2023-09-27,4282.63
2023-09-28,4269.65
2023-09-29,4328.18
2023-10-02,4284.52
2023-10-03,4269.75
2023-10-04,4233.83
2023-10-05,4259.31
2023-10-06,4234.79
2023-10-09,4289.02
2023-10-10,4339.75
2023-10-11,4366.59
2023-10-12,4380.94
2023-10-13,4360.49
2023-10-16,4342.37
2023-10-17,4345.23
2023-10-18,4357.35
2023-10-19,4321.36
2023-10-20,4273.85
2023-10-23,4210.40
2023-10-24,4235.79
2023-10-25,4232.42
2023-10-26,4175.99
2023-10-27,4152.93
2023-10-30,4139.39
2023-10-31,4171.33
2023-11-01,4201.27
2023-11-02,4268.26
2023-11-03,4334.23
2023-11-06,4364.27
2023-11-07,4366.21
2023-11-08,4384.37
2023-11-09,4391.41
2023-11-10,4364.15
2023-11-13,4406.66
